Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1001,https://www.tff.org/Default.aspx?pageId=29&macId=139976,FENERBAHÇE A.Ş.,2,ESKİŞEHİRSPOR,0,FB ŞÜKRÜ SARACOĞLU - İSTANBUL,FIRAT AYDINUS,14.08.2015 - 22:00
1005,https://www.tff.org/Default.aspx?pageId=29&macId=139980,TRABZONSPOR A.Ş.,1,BURSASPOR,0,HÜSEYİN AVNİ AKER - TRABZON,TOLGA ÖZKALFA,15.08.2015 - 21:00
1002,https://www.tff.org/Default.aspx?pageId=29&macId=139977,MEDİPOL BAŞAKŞEHİR FK,2,ANTALYASPOR A.Ş.,3,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,İLKER MERAL,15.08.2015 - 22:00
1009,https://www.tff.org/Default.aspx?pageId=29&macId=139984,MEDICANA SİVASSPOR,2,GALATASARAY A.Ş.,2,SİVAS 4 EYLÜL - SİVAS,BARIŞ ŞİMŞEK,15.08.2015 - 22:00
1007,https://www.tff.org/Default.aspx?pageId=29&macId=139982,TORKU KONYASPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,KONYA BÜYÜKŞEHİR STADI - KONYA,SERKAN ÇINAR,16.08.2015 - 21:00
1008,https://www.tff.org/Default.aspx?pageId=29&macId=139983,OSMANLISPOR FUTBOL KULÜBÜ,1,KAYSERİSPOR,1,OSMANLI STADI - ANKARA,DENİZ ÇOBAN,16.08.2015 - 21:00
1003,https://www.tff.org/Default.aspx?pageId=29&macId=139978,GAZİANTEPSPOR,0,KASIMPAŞA A.Ş.,3,KAMİL OCAK - GAZİANTEP,SERKAN TOKAT,16.08.2015 - 22:00
1006,https://www.tff.org/Default.aspx?pageId=29&macId=139981,MERSİN İDMANYURDU,2,BEŞİKTAŞ A.Ş.,5,MERSİN STADYUMU - MERSİN,BÜLENT YILDIRIM,16.08.2015 - 22:00
1004,https://www.tff.org/Default.aspx?pageId=29&macId=139979,GENÇLERBİRLİĞİ,2,ÇAYKUR RİZESPOR A.Ş.,3,ANKARA 19 MAYIS - ANKARA,ALPER ULUSOY,17.08.2015 - 22:00
1014,https://www.tff.org/Default.aspx?pageId=29&macId=139989,KASIMPAŞA A.Ş.,1,MEDİPOL BAŞAKŞEHİR FK,0,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,METE KALKAVAN,21.08.2015 - 21:45
