2024_25_sezon_maclari.csv
Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1000,https://tff.org/mac/1,Galatasaray,2,Hatayspor,1,RAMS Park,Turgut Doman,09.08.2024 21:00
1001,https://tff.org/mac/2,Kasımpaşa,2,Konyaspor,3,R. Tayyip Erdoğan,M. Ali Metoğlu,10.08.2024 19:15
1002,https://tff.org/mac/3,Antalyaspor,0,Göztepe,0,Corendon Airlines,Zorbay Küçük,10.08.2024 21:45
1003,https://tff.org/mac/4,Fenerbahçe,1,Adana Demirspor,0,Ülker Stadyumu,Atilla Karaoğlan,10.08.2024 21:45
1004,https://tff.org/mac/5,Sivasspor,0,Trabzonspor,0,BG Grup 4 Eylül,Cihan Aydın,11.08.2024 19:15
1005,https://tff.org/mac/6,Alanyaspor,1,Eyüpspor,1,GAIN Park,Oğuzhan Çakır,11.08.2024 21:45
1006,https://tff.org/mac/7,Samsunspor,0,Beşiktaş,2,Yeni 19 Mayıs,Ali Şansalan,11.08.2024 21:45
1007,https://tff.org/mac/8,Ç. Rizespor,1,Başakşehir,1,Çaykur Didi,D. Tonusluoğlu,12.08.2024 21:00
1008,https://tff.org/mac/9,Bodrum FK,0,Gaziantep FK,1,Bodrum İlçe,Mehmet Türkmen,12.08.2024 21:00
1009,https://tff.org/mac/10,Konyaspor,1,Galatasaray,2,MEDAŞ Konya,Direnç Tonusluoğlu,16.08.2024 21:00
1010,https://tff.org/mac/11,Kayserispor,1,Sivasspor,2,RHG Enertürk,Turgut Doman,17.08.2024 19:15
1011,https://tff.org/mac/12,Adana Demirspor,1,Ç. Rizespor,2,Yeni Adana,Cihan Aydın,17.08.2024 21:45
1012,https://tff.org/mac/13,Göztepe,2,Fenerbahçe,2,Gürsel Aksel,Kadir Sağlam,17.08.2024 21:45
1013,https://tff.org/mac/14,Başakşehir,4,Alanyaspor,2,Fatih Terim,Arda Kardeşler,18.08.2024 19:15
1014,https://tff.org/mac/15,Beşiktaş,4,Antalyaspor,2,Tüpraş Stadyumu,Mehmet Türkmen,18.08.2024 21:45
1015,https://tff.org/mac/16,Gaziantep FK,0,Samsunspor,1,Kalyon Stadyumu,Emre Kargın,18.08.2024 21:45
1016,https://tff.org/mac/17,Hatayspor,1,Kasımpaşa,1,Mersin Stadyumu,Oğuzhan Çakır,19.08.2024 21:00
1017,https://tff.org/mac/18,Eyüpspor,4,Bodrum FK,1,R. Tayyip Erdoğan,Halil Umut Meler,19.08.2024 21:00
1018,https://tff.org/mac/19,Alanyaspor,1,Göztepe,1,GAIN Park,M. Ali Metoğlu,23.08.2024 21:00
1019,https://tff.org/mac/20,Sivasspor,0,Eyüpspor,1,BG Grup 4 Eylül,Zorbay Küçük,24.08.2024 19:15
1020,https://tff.org/mac/21,Bodrum FK,3,Konyaspor,1,Bodrum İlçe,Çağdaş Altay,24.08.2024 21:45
1021,https://tff.org/mac/22,Kasımpaşa,2,Adana Demirspor,2,R. Tayyip Erdoğan,Abdullah Buğra Taşkınsoy,25.08.2024 19:15
1022,https://tff.org/mac/23,Antalyaspor,3,Hatayspor,2,Corendon Airlines,Atilla Karaoğlan,25.08.2024 21:45
1023,https://tff.org/mac/24,Ç. Rizespor,0,Fenerbahçe,5,Çaykur Didi,Turgut Doman,25.08.2024 21:45
1024,https://tff.org/mac/25,Galatasaray,3,Gaziantep FK,1,RAMS Park,Cihan Aydın,17.09.2024 20:00
1025,https://tff.org/mac/26,Samsunspor,2,Başakşehir,0,Yeni 19 Mayıs,Direnç Tonusluoğlu,18.09.2024 20:00
1026,https://tff.org/mac/27,Trabzonspor,2,Kayserispor,2,Papara Park,Mehmet Türkmen,19.09.2024 20:00
1027,https://tff.org/mac/28,Fenerbahçe,3,Alanyaspor,0,Ülker Stadyumu,Mehmet Türkmen,30.08.2024 21:00
1028,https://tff.org/mac/29,Ç. Rizespor,0,Kasımpaşa,1,Çaykur Didi,Ali Şansalan,31.08.2024 19:15
1029,https://tff.org/mac/30,Konyaspor,0,Kayserispor,0,MEDAŞ Konya,Emre Kargın,31.08.2024 19:15
1030,https://tff.org/mac/31,Adana Demirspor,1,Galatasaray,5,Yeni Adana,Kadir Sağlam,31.08.2024 21:45
1031,https://tff.org/mac/32,Göztepe,2,Bodrum FK,0,Gürsel Aksel,Abdullah Buğra Taşkınsoy,31.08.2024 21:45
1032,https://tff.org/mac/33,Eyüpspor,0,Trabzonspor,0,R. Tayyip Erdoğan,Atilla Karaoğlan,01.09.2024 19:15
1033,https://tff.org/mac/34,Başakşehir,5,Antalyaspor,2,Fatih Terim,Arda Kardeşler,01.09.2024 19:15
1034,https://tff.org/mac/35,Beşiktaş,2,Sivasspor,0,Tüpraş Stadyumu,Direnç Tonusluoğlu,01.09.2024 21:45
1035,https://tff.org/mac/36,Hatayspor,0,Samsunspor,3,Mersin Stadyumu,Gamze Durmuş Pakkan,01.09.2024 21:45
1036,https://tff.org/mac/37,Sivasspor,3,Gaziantep FK,2,BG Grup 4 Eylül,M. Ali Metoğlu,14.09.2024 17:00
1037,https://tff.org/mac/38,Samsunspor,0,Konyaspor,1,Yeni 19 Mayıs,Oğuzhan Çakır,14.09.2024 17:00
1038,https://tff.org/mac/39,Bodrum FK,0,Başakşehir,1,Bodrum İlçe,Zorbay Küçük,14.09.2024 20:00
1039,https://tff.org/mac/40,Galatasaray,5,Ç. Rizespor,0,RAMS Park,Arda Kardeşler,14.09.2024 20:00
1040,https://tff.org/mac/41,Kayserispor,2,Eyüpspor,2,RHG Enertürk,Ömer Tolga Güldibi,15.09.2024 17:00
1041,https://tff.org/mac/42,Kasımpaşa,0,Fenerbahçe,2,R. Tayyip Erdoğan,Halil Umut Meler,15.09.2024 17:00
1042,https://tff.org/mac/43,Alanyaspor,0,Hatayspor,0,GAIN Park,Ozan Ergün,15.09.2024 20:00
1043,https://tff.org/mac/44,Trabzonspor,1,Beşiktaş,1,Papara Park,Ali Şansalan,15.09.2024 20:00
1044,https://tff.org/mac/45,Antalyaspor,2,Adana Demirspor,1,Corendon Airlines,Yasin Kol,16.09.2024 20:00
1045,https://tff.org/mac/46,Hatayspor,0,Bodrum FK,1,Mersin Stadyumu,Ümit Öztürk,20.09.2024 20:00
1046,https://tff.org/mac/47,Konyaspor,0,Sivasspor,0,MEDAŞ Konya,Yasin Kol,21.09.2024 17:00
1047,https://tff.org/mac/48,Fenerbahçe,1,Galatasaray,3,Ülker Stadyumu,Atilla Karaoğlan,21.09.2024 20:00
1048,https://tff.org/mac/49,Gaziantep FK,0,Trabzonspor,0,Kalyon Stadyumu,Volkan Bayarslan,22.09.2024 20:00
1049,https://tff.org/mac/50,Göztepe,3,Kayserispor,0,Gürsel Aksel,Ozan Ergün,22.09.2024 20:00
1050,https://tff.org/mac/51,Kasımpaşa,0,Antalyaspor,0,R. Tayyip Erdoğan,Burak Pakkan,22.09.2024 17:00
1051,https://tff.org/mac/52,Ç. Rizespor,0,Samsunspor,1,Çaykur Didi,Kadir Sağlam,22.09.2024 17:00
1052,https://tff.org/mac/53,Adana Demirspor,0,Alanyaspor,2,Yeni Adana,Emre Kargın,22.09.2024 20:00
1053,https://tff.org/mac/54,Beşiktaş,2,Eyüpspor,1,Tüpraş Stadyumu,Zorbay Küçük,23.09.2024 20:00
1054,https://tff.org/mac/55,Sivasspor,1,Başakşehir,2,BG Grup 4 Eylül,Çağdaş Altay,27.09.2024 20:00
1055,https://tff.org/mac/56,Trabzonspor,3,Konyaspor,2,Papara Park,Halil Umut Meler,28.09.2024 17:00
1056,https://tff.org/mac/57,Bodrum FK,3,Adana Demirspor,1,Bodrum İlçe,Turgut Doman,28.09.2024 20:00
1057,https://tff.org/mac/58,Eyüpspor,3,Gaziantep FK,2,R. Tayyip Erdoğan,Arda Kardeşler,28.09.2024 20:00
1058,https://tff.org/mac/59,Samsunspor,4,Göztepe,3,Yeni 19 Mayıs,Mehmet Türkmen,29.09.2024 17:00
1059,https://tff.org/mac/60,Alanyaspor,1,Ç. Rizespor,0,GAIN Park,Abdullah Buğra Taşkınsoy,29.09.2024 17:00
1060,https://tff.org/mac/61,Galatasaray,3,Kasımpaşa,3,RAMS Park,Oğuzhan Çakır,29.09.2024 20:00
1061,https://tff.org/mac/62,Antalyaspor,0,Fenerbahçe,2,Corendon Airlines,Cihan Aydın,29.09.2024 20:00
1062,https://tff.org/mac/63,Kayserispor,0,Beşiktaş,3,RHG Enertürk,Atilla Karaoğlan,30.09.2024 20:00
1063,https://tff.org/mac/64,Ç. Rizespor,2,Antalyaspor,1,Çaykur Didi,Burak Pakkan,04.10.2024 20:00
