Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat,2024_25_sezon_maclari.csv,Sonuc,Ev_sahibi_ID,Misafir_ID,Hakem_ID,Gol_Farki
1000.0,https://www.tff.org/Default.aspx?pageId=29&macId=230000,İSTANBULSPOR A.Ş.,0.0,TRABZONSPOR A.Ş.,2.0,Atatürk Olimpiyat,Arda Kardeşler,05.08.2022 21:00,,2,182,157,28,-2.0
1001.0,https://www.tff.org/Default.aspx?pageId=29&macId=230001,DEMİR GRUP SİVASSPOR,1.0,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,1.0,Sivas 4 Eylül,Ali Şansalan,06.08.2022 19:15,,0,51,78,27,0.0
1002.0,https://www.tff.org/Default.aspx?pageId=29&macId=230002,BEŞİKTAŞ A.Ş.,1.0,YUKATEL KAYSERİSPOR,0.0,Vodafone Park,Ümit Öztürk,06.08.2022 21:45,,1,34,166,212,1.0
1003.0,https://www.tff.org/Default.aspx?pageId=29&macId=230003,VAVACARS FATİH KARAGÜMRÜK,2.0,ALANYASPOR,4.0,Atatürk Olimpiyat,Zorbay Küçük,07.08.2022 19:15,,2,162,10,196,-2.0
1004.0,https://www.tff.org/Default.aspx?pageId=29&macId=230004,BITEXEN GİRESUNSPOR,2.0,ADANA DEMİRSPOR A.Ş.,3.0,Çotanak Spor Kompleksi,Volkan Bayarslan,07.08.2022 19:15,,2,36,3,181,-1.0
1005.0,https://www.tff.org/Default.aspx?pageId=29&macId=230005,FRAPORT TAV ANTALYASPOR,0.0,GALATASARAY A.Ş.,1.0,Corendon Airlines Park,Atilla Karaoğlan,07.08.2022 21:45,,2,69,76,29,-1.0
1006.0,https://www.tff.org/Default.aspx?pageId=29&macId=230006,MEDİPOL BAŞAKŞEHİR FK,4.0,KASIMPAŞA A.Ş.,0.0,Başakşehir Fatih Terim,Ali Palabıyık,08.08.2022 19:15,,1,125,103,26,4.0
1007.0,https://www.tff.org/Default.aspx?pageId=29&macId=230007,MKE ANKARAGÜCÜ,0.0,ARABAM.COM KONYASPOR,0.0,Eryaman Stadyumu,Bahattin Şimşek,08.08.2022 21:45,,0,130,19,33,0.0
1008.0,https://www.tff.org/Default.aspx?pageId=29&macId=230008,FENERBAHÇE A.Ş.,3.0,HANGİKREDİ ÜMRANİYESPOR,3.0,Ülker Stadyumu,Yaşar Kemal Uğurlu,08.08.2022 21:45,,0,68,93,191,0.0
1009.0,https://www.tff.org/Default.aspx?pageId=29&macId=230009,TRABZONSPOR A.Ş.,1.0,ATAKAŞ HATAYSPOR,0.0,Şenol Güneş Spor Kompleksi,Abdulkadir Bitigen,12.08.2022 21:00,,1,157,20,25,1.0
1010.0,https://www.tff.org/Default.aspx?pageId=29&macId=230010,YUKATEL KAYSERİSPOR,1.0,İSTANBULSPOR A.Ş.,0.0,Kadir Has Şehir,Suat Arslanboğa,13.08.2022 19:15,,1,166,182,165,1.0
1011.0,https://www.tff.org/Default.aspx?pageId=29&macId=230011,GALATASARAY A.Ş.,0.0,BITEXEN GİRESUNSPOR,1.0,Nef Stadyumu,Kadir Sağlam,13.08.2022 21:45,,2,76,36,96,-1.0
1012.0,https://www.tff.org/Default.aspx?pageId=29&macId=230012,ADANA DEMİRSPOR A.Ş.,3.0,DEMİR GRUP SİVASSPOR,0.0,Yeni Adana Stadyumu,Mert Güzenge,13.08.2022 21:45,,1,3,51,125,3.0
1013.0,https://www.tff.org/Default.aspx?pageId=29&macId=230013,HANGİKREDİ ÜMRANİYESPOR,0.0,FRAPORT TAV ANTALYASPOR,1.0,Atatürk Olimpiyat,Çağdaş Altay,14.08.2022 19:15,,2,93,69,202,-1.0
1014.0,https://www.tff.org/Default.aspx?pageId=29&macId=230014,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,1.0,MKE ANKARAGÜCÜ,0.0,Kalyon Stadyumu,Mustafa Kürşad Filiz,14.08.2022 19:15,,1,78,130,128,1.0
1015.0,https://www.tff.org/Default.aspx?pageId=29&macId=230015,ALANYASPOR,3.0,BEŞİKTAŞ A.Ş.,3.0,Kırbıyık Holding Stadyumu,Yasin Kol,14.08.2022 21:45,,0,10,34,190,0.0
1016.0,https://www.tff.org/Default.aspx?pageId=29&macId=230016,ARABAM.COM KONYASPOR,0.0,MEDİPOL BAŞAKŞEHİR FK,0.0,Eskişehir Yeni Stadyum,Sarper Barış Saka,15.08.2022 19:15,,0,19,125,164,0.0
1017.0,https://www.tff.org/Default.aspx?pageId=29&macId=230017,KASIMPAŞA A.Ş.,0.0,FENERBAHÇE A.Ş.,6.0,Recep Tayyip Erdoğan,Mete Kalkavan,15.08.2022 21:45,,2,103,68,126,-6.0
1018.0,https://www.tff.org/Default.aspx?pageId=29&macId=230018,HANGİKREDİ ÜMRANİYESPOR,0.0,GALATASARAY A.Ş.,1.0,Atatürk Olimpiyat,Ali Şansalan,19.08.2022 21:00,,2,93,76,27,-1.0
1019.0,https://www.tff.org/Default.aspx?pageId=29&macId=230019,BITEXEN GİRESUNSPOR,1.0,KASIMPAŞA A.Ş.,0.0,Çotanak Spor Kompleksi,Bahattin Şimşek,20.08.2022 19:15,,1,36,103,33,1.0
1020.0,https://www.tff.org/Default.aspx?pageId=29&macId=230020,ATAKAŞ HATAYSPOR,1.0,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,2.0,Yeni Hatay Stadyumu,Atilla Karaoğlan,20.08.2022 19:15,,2,20,78,29,-1.0
1021.0,https://www.tff.org/Default.aspx?pageId=29&macId=230021,FRAPORT TAV ANTALYASPOR,5.0,TRABZONSPOR A.Ş.,2.0,Corendon Airlines Park,Volkan Bayarslan,20.08.2022 21:45,,1,69,157,181,3.0
1022.0,https://www.tff.org/Default.aspx?pageId=29&macId=230022,MEDİPOL BAŞAKŞEHİR FK,2.0,YUKATEL KAYSERİSPOR,0.0,Başakşehir Fatih Terim,Yaşar Kemal Uğurlu,21.08.2022 19:15,,1,125,166,191,2.0
1023.0,https://www.tff.org/Default.aspx?pageId=29&macId=230023,BEŞİKTAŞ A.Ş.,4.0,VAVACARS FATİH KARAGÜMRÜK,1.0,Vodafone Park,Arda Kardeşler,21.08.2022 21:45,,1,34,162,28,3.0
1024.0,https://www.tff.org/Default.aspx?pageId=29&macId=230024,İSTANBULSPOR A.Ş.,0.0,ARABAM.COM KONYASPOR,4.0,Esenyurt Necmi Kadıoğlu,Burak Şeker,22.08.2022 19:15,,2,182,19,35,-4.0
1025.0,https://www.tff.org/Default.aspx?pageId=29&macId=230025,DEMİR GRUP SİVASSPOR,1.0,ALANYASPOR,1.0,Sivas 4 Eylül,Ümit Öztürk,22.08.2022 19:15,,0,51,10,212,0.0
1026.0,https://www.tff.org/Default.aspx?pageId=29&macId=230026,FENERBAHÇE A.Ş.,4.0,ADANA DEMİRSPOR A.Ş.,2.0,Ülker Stadyumu,Abdulkadir Bitigen,22.08.2022 21:45,,1,68,3,25,2.0
1027.0,https://www.tff.org/Default.aspx?pageId=29&macId=230027,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,5.0,FRAPORT TAV ANTALYASPOR,2.0,Kalyon Stadyumu,Suat Arslanboğa,26.08.2022 21:00,,1,78,69,165,3.0
1028.0,https://www.tff.org/Default.aspx?pageId=29&macId=230028,VAVACARS FATİH KARAGÜMRÜK,4.0,MKE ANKARAGÜCÜ,1.0,Atatürk Olimpiyat,Çağdaş Altay,27.08.2022 19:15,,1,162,130,202,3.0
1029.0,https://www.tff.org/Default.aspx?pageId=29&macId=230029,ALANYASPOR,0.0,İSTANBULSPOR A.Ş.,1.0,Kırbıyık Holding Stadyumu,Mustafa Kürşad Filiz,27.08.2022 21:45,,2,10,182,128,-1.0
1030.0,https://www.tff.org/Default.aspx?pageId=29&macId=230030,ADANA DEMİRSPOR A.Ş.,1.0,HANGİKREDİ ÜMRANİYESPOR,0.0,Yeni Adana Stadyumu,Kadir Sağlam,27.08.2022 21:45,,1,3,93,96,1.0
1031.0,https://www.tff.org/Default.aspx?pageId=29&macId=230031,KASIMPAŞA A.Ş.,1.0,ATAKAŞ HATAYSPOR,0.0,Recep Tayyip Erdoğan,Mert Güzenge,28.08.2022 19:15,,1,103,20,125,1.0
1032.0,https://www.tff.org/Default.aspx?pageId=29&macId=230032,YUKATEL KAYSERİSPOR,3.0,BITEXEN GİRESUNSPOR,0.0,Kadir Has Şehir,Sarper Barış Saka,28.08.2022 19:15,,1,166,36,164,3.0
1033.0,https://www.tff.org/Default.aspx?pageId=29&macId=230033,TRABZONSPOR A.Ş.,0.0,GALATASARAY A.Ş.,0.0,Şenol Güneş Spor Kompleksi,Ali Palabıyık,28.08.2022 21:45,,0,157,76,26,0.0
1034.0,https://www.tff.org/Default.aspx?pageId=29&macId=230034,ARABAM.COM KONYASPOR,1.0,FENERBAHÇE A.Ş.,0.0,Eskişehir Yeni Stadyum,Arda Kardeşler,29.08.2022 19:15,,1,19,68,28,1.0
1035.0,https://www.tff.org/Default.aspx?pageId=29&macId=230035,BEŞİKTAŞ A.Ş.,3.0,DEMİR GRUP SİVASSPOR,1.0,Vodafone Park,Volkan Bayarslan,29.08.2022 21:45,,1,34,51,181,2.0
1036.0,https://www.tff.org/Default.aspx?pageId=29&macId=230036,HANGİKREDİ ÜMRANİYESPOR,0.0,TRABZONSPOR A.Ş.,1.0,Recep Tayyip Erdoğan,Arda Kardeşler,02.09.2022 21:00,,2,93,157,28,-1.0
1037.0,https://www.tff.org/Default.aspx?pageId=29&macId=230037,DEMİR GRUP SİVASSPOR,0.0,VAVACARS FATİH KARAGÜMRÜK,0.0,Sivas 4 Eylül,Yasin Kol,03.09.2022 19:15,,0,51,162,190,0.0
1038.0,https://www.tff.org/Default.aspx?pageId=29&macId=230038,MEDİPOL BAŞAKŞEHİR FK,2.0,ALANYASPOR,0.0,Başakşehir Fatih Terim,Ali Şansalan,03.09.2022 19:15,,1,125,10,27,2.0
1039.0,https://www.tff.org/Default.aspx?pageId=29&macId=230039,FENERBAHÇE A.Ş.,2.0,YUKATEL KAYSERİSPOR,0.0,Ülker Stadyumu,Ali Palabıyık,03.09.2022 21:45,,1,68,166,26,2.0
1040.0,https://www.tff.org/Default.aspx?pageId=29&macId=230040,BITEXEN GİRESUNSPOR,0.0,ARABAM.COM KONYASPOR,1.0,Çotanak Spor Kompleksi,Zorbay Küçük,03.09.2022 21:45,,2,36,19,196,-1.0
1041.0,https://www.tff.org/Default.aspx?pageId=29&macId=230041,ATAKAŞ HATAYSPOR,1.0,ADANA DEMİRSPOR A.Ş.,1.0,Yeni Hatay Stadyumu,Burak Şeker,04.09.2022 19:15,,0,20,3,35,0.0
1042.0,https://www.tff.org/Default.aspx?pageId=29&macId=230042,MKE ANKARAGÜCÜ,2.0,BEŞİKTAŞ A.Ş.,3.0,Eryaman Stadyumu,Mete Kalkavan,04.09.2022 21:45,,2,130,34,126,-1.0
1043.0,https://www.tff.org/Default.aspx?pageId=29&macId=230043,FRAPORT TAV ANTALYASPOR,0.0,KASIMPAŞA A.Ş.,2.0,Corendon Airlines Park,Kadir Sağlam,04.09.2022 21:45,,2,69,103,96,-2.0
1044.0,https://www.tff.org/Default.aspx?pageId=29&macId=230044,GALATASARAY A.Ş.,2.0,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,1.0,Nef Stadyumu,Yaşar Kemal Uğurlu,05.09.2022 21:00,,1,76,78,191,1.0
